Australian Bureau of Statistics,,,,,,,,,
State Suburbs 2011 to State Suburbs 2016,,,,,,,,,
,,,,,,,,,
Table 2 QI indicator,,,,,,,,,
,,,,,,,,,
SSC_CODE_2016,SSC_NAME_2016,QI_INDICATOR,,,,,,,
,,,,,,,,,
10001,Aarons Pass,Poor,,,,,,,
10002,Abbotsbury,Good,,,,,,,
10003,Abbotsford (NSW),Good,,,,,,,
10004,Abercrombie,Good,,,,,,,
10005,Abercrombie River,Poor,,,,,,,
10006,Aberdare,Good,,,,,,,
10007,Aberdeen (NSW),Good,,,,,,,
10008,Aberfoyle,Poor,,,,,,,
10009,Aberglasslyn,Good,,,,,,,
10010,Abermain,Good,,,,,,,
10011,Abernethy,Acceptable,,,,,,,
10012,Abington (NSW),Poor,,,,,,,
10013,Acacia Creek,Poor,,,,,,,
10014,Acacia Gardens,Good,,,,,,,
10015,Adaminaby,Acceptable,,,,,,,
10016,Adamstown,Good,,,,,,,
10017,Adamstown Heights,Good,,,,,,,
10018,Adelong,Good,,,,,,,
10019,Adjungbilly,Poor,,,,,,,
10020,Afterlee,Poor,,,,,,,
10021,Agnes Banks,Good,,,,,,,
10022,Airds,Good,,,,,,,
10023,Akolele,Poor,,,,,,,
10024,Albert,Poor,,,,,,,
10025,Albion Park,Good,,,,,,,
10026,Albion Park Rail,Good,,,,,,,
10027,Albury,Good,,,,,,,
10028,Aldavilla,Good,,,,,,,
10029,Alectown,Poor,,,,,,,
10030,Alexandria,Good,,,,,,,
10031,Alfords Point,Good,,,,,,,
10032,Alfredtown,Poor,,,,,,,
10033,Alice,Poor,,,,,,,
10034,Alison (Central Coast - NSW),Poor,,,,,,,
10035,Alison (Dungog - NSW),Poor,,,,,,,
10036,Allambie Heights,Good,,,,,,,
10037,Allandale (NSW),Poor,,,,,,,
10038,Allawah,Good,,,,,,,
10039,Alleena,Poor,,,,,,,
10040,Allgomera,Good,,,,,,,
10041,Allworth,Good,,,,,,,
10042,Allynbrook,Poor,,,,,,,
10043,Alma Park,Poor,,,,,,,
10044,Alpine,Poor,,,,,,,
